timestamp,incident_id,phase
2026-05-30T15:02:13Z,,normal
2026-05-30T15:02:18Z,,normal
2026-05-30T15:02:23Z,,normal
2026-05-30T15:02:28Z,,normal
2026-05-30T15:02:33Z,,normal
2026-05-30T15:02:38Z,,normal
2026-05-30T15:02:43Z,,normal
2026-05-30T15:02:48Z,,normal
2026-05-30T15:02:53Z,,normal
2026-05-30T15:02:58Z,,normal
2026-05-30T15:03:03Z,,normal
2026-05-30T15:03:08Z,,normal
2026-05-30T15:03:13Z,,normal
2026-05-30T15:03:18Z,,normal
2026-05-30T15:03:23Z,,normal
2026-05-30T15:03:28Z,,normal
2026-05-30T15:03:33Z,,normal
2026-05-30T15:03:38Z,,normal
2026-05-30T15:03:43Z,,normal
2026-05-30T15:03:48Z,,normal
2026-05-30T15:03:53Z,,normal
2026-05-30T15:03:58Z,,normal
2026-05-30T15:04:03Z,,normal
2026-05-30T15:04:08Z,,normal
2026-05-30T15:04:13Z,,normal
2026-05-30T15:04:18Z,,normal
2026-05-30T15:04:23Z,,normal
2026-05-30T15:04:28Z,,normal
2026-05-30T15:04:33Z,,normal
2026-05-30T15:04:38Z,,normal
2026-05-30T15:04:43Z,,normal
2026-05-30T15:04:48Z,,normal
2026-05-30T15:04:53Z,,normal
2026-05-30T15:04:58Z,,normal
2026-05-30T15:05:03Z,,normal
2026-05-30T15:05:08Z,,normal
2026-05-30T15:05:13Z,,normal
2026-05-30T15:05:18Z,,normal
2026-05-30T15:05:23Z,,normal
2026-05-30T15:05:28Z,,normal
2026-05-30T15:05:33Z,,normal
2026-05-30T15:05:38Z,,normal
2026-05-30T15:05:43Z,,normal
2026-05-30T15:05:48Z,,normal
2026-05-30T15:05:53Z,,normal
2026-05-30T15:05:58Z,,normal
2026-05-30T15:06:03Z,,normal
2026-05-30T15:06:08Z,,normal
2026-05-30T15:06:13Z,,normal
2026-05-30T15:06:18Z,,normal
2026-05-30T15:06:23Z,,normal
2026-05-30T15:06:28Z,,normal
2026-05-30T15:06:33Z,,normal
2026-05-30T15:06:38Z,,normal
2026-05-30T15:06:43Z,,normal
2026-05-30T15:06:48Z,,normal
2026-05-30T15:06:53Z,,normal
2026-05-30T15:06:58Z,,normal
2026-05-30T15:07:03Z,,normal
2026-05-30T15:07:08Z,,normal
2026-05-30T15:07:13Z,,normal
2026-05-30T15:07:18Z,INC-001,fault_effect
2026-05-30T15:07:23Z,INC-001,fault_effect
2026-05-30T15:07:28Z,INC-001,fault_effect
2026-05-30T15:07:33Z,INC-001,fault_effect
2026-05-30T15:07:38Z,INC-001,fault_effect
2026-05-30T15:07:43Z,INC-001,fault_effect
2026-05-30T15:07:48Z,INC-001,fault_effect
2026-05-30T15:07:53Z,INC-001,fault_effect
2026-05-30T15:07:58Z,INC-001,fault_effect
2026-05-30T15:08:03Z,INC-001,fault_effect
2026-05-30T15:08:08Z,INC-001,fault_effect
2026-05-30T15:08:13Z,INC-001,fault_effect
2026-05-30T15:08:18Z,,normal
2026-05-30T15:08:23Z,,normal
2026-05-30T15:08:28Z,,normal
2026-05-30T15:08:33Z,,normal
2026-05-30T15:08:38Z,,normal
2026-05-30T15:08:43Z,,normal
2026-05-30T15:08:48Z,,normal
2026-05-30T15:08:53Z,,normal
2026-05-30T15:08:58Z,,normal
2026-05-30T15:09:03Z,,normal
2026-05-30T15:09:08Z,,normal
2026-05-30T15:09:13Z,,normal
2026-05-30T15:09:18Z,,normal
2026-05-30T15:09:23Z,,normal
2026-05-30T15:09:28Z,,normal
2026-05-30T15:09:33Z,,normal
2026-05-30T15:09:38Z,,normal
2026-05-30T15:09:43Z,,normal
2026-05-30T15:09:48Z,,normal
2026-05-30T15:09:53Z,,normal
2026-05-30T15:09:58Z,,normal
2026-05-30T15:10:03Z,,normal
2026-05-30T15:10:08Z,,normal
2026-05-30T15:10:13Z,,normal
2026-05-30T15:10:18Z,,normal
2026-05-30T15:10:23Z,,normal
2026-05-30T15:10:28Z,,normal
2026-05-30T15:10:33Z,,normal
2026-05-30T15:10:38Z,,normal
2026-05-30T15:10:43Z,,normal
2026-05-30T15:10:48Z,,normal
2026-05-30T15:10:53Z,,normal
2026-05-30T15:10:58Z,,normal
2026-05-30T15:11:03Z,,normal
2026-05-30T15:11:08Z,,normal
2026-05-30T15:11:13Z,,normal
2026-05-30T15:11:18Z,,normal
2026-05-30T15:11:23Z,,normal
2026-05-30T15:11:28Z,,normal
2026-05-30T15:11:33Z,,normal
2026-05-30T15:11:38Z,,normal
2026-05-30T15:11:43Z,,normal
2026-05-30T15:11:48Z,,normal
2026-05-30T15:11:53Z,,normal
2026-05-30T15:11:58Z,,normal
2026-05-30T15:12:03Z,,normal
2026-05-30T15:12:08Z,,normal
2026-05-30T15:12:13Z,,normal
2026-05-30T15:12:18Z,,normal
2026-05-30T15:12:23Z,,normal
2026-05-30T15:12:28Z,,normal
2026-05-30T15:12:33Z,,normal
2026-05-30T15:12:38Z,,normal
2026-05-30T15:12:43Z,,normal
2026-05-30T15:12:48Z,,normal
2026-05-30T15:12:53Z,,normal
2026-05-30T15:12:58Z,,normal
2026-05-30T15:13:03Z,,normal
2026-05-30T15:13:08Z,,normal
2026-05-30T15:13:13Z,,normal
2026-05-30T15:13:18Z,INC-002,fault_effect
2026-05-30T15:13:23Z,INC-002,fault_effect
2026-05-30T15:13:28Z,INC-002,fault_effect
2026-05-30T15:13:33Z,INC-002,fault_effect
2026-05-30T15:13:38Z,INC-002,fault_effect
2026-05-30T15:13:43Z,INC-002,fault_effect
2026-05-30T15:13:48Z,INC-002,fault_effect
2026-05-30T15:13:53Z,INC-002,fault_effect
2026-05-30T15:13:58Z,INC-002,fault_effect
2026-05-30T15:14:03Z,INC-002,fault_effect
2026-05-30T15:14:08Z,INC-002,fault_effect
2026-05-30T15:14:13Z,INC-002,fault_effect
2026-05-30T15:14:18Z,,normal
2026-05-30T15:14:23Z,,normal
2026-05-30T15:14:28Z,,normal
2026-05-30T15:14:33Z,,normal
2026-05-30T15:14:38Z,,normal
2026-05-30T15:14:43Z,,normal
2026-05-30T15:14:48Z,,normal
2026-05-30T15:14:53Z,,normal
2026-05-30T15:14:58Z,,normal
2026-05-30T15:15:03Z,,normal
2026-05-30T15:15:08Z,,normal
2026-05-30T15:15:13Z,,normal
2026-05-30T15:15:18Z,,normal
2026-05-30T15:15:23Z,,normal
2026-05-30T15:15:28Z,,normal
2026-05-30T15:15:33Z,,normal
2026-05-30T15:15:38Z,,normal
2026-05-30T15:15:43Z,,normal
2026-05-30T15:15:48Z,,normal
2026-05-30T15:15:53Z,,normal
2026-05-30T15:15:58Z,,normal
2026-05-30T15:16:03Z,,normal
2026-05-30T15:16:08Z,,normal
2026-05-30T15:16:13Z,,normal
