timestamp,is_anomaly,incident_id,phase
2026-05-29T04:25:48Z,0,,normal
2026-05-29T04:25:53Z,0,,normal
2026-05-29T04:25:58Z,0,,normal
2026-05-29T04:26:03Z,0,,normal
2026-05-29T04:26:08Z,0,,normal
2026-05-29T04:26:13Z,0,,normal
2026-05-29T04:26:18Z,0,,normal
2026-05-29T04:26:23Z,0,,normal
2026-05-29T04:26:28Z,0,,normal
2026-05-29T04:26:33Z,0,,normal
2026-05-29T04:26:38Z,0,,normal
2026-05-29T04:26:43Z,0,,normal
2026-05-29T04:26:48Z,0,,normal
2026-05-29T04:26:53Z,0,,normal
2026-05-29T04:26:58Z,0,,normal
2026-05-29T04:27:03Z,0,,normal
2026-05-29T04:27:08Z,0,,normal
2026-05-29T04:27:13Z,0,,normal
2026-05-29T04:27:18Z,0,,normal
2026-05-29T04:27:23Z,0,,normal
2026-05-29T04:27:28Z,0,,normal
2026-05-29T04:27:33Z,0,,normal
2026-05-29T04:27:38Z,0,,normal
2026-05-29T04:27:43Z,0,,normal
2026-05-29T04:27:48Z,0,,normal
2026-05-29T04:27:53Z,0,,normal
2026-05-29T04:27:58Z,0,,normal
2026-05-29T04:28:03Z,0,,normal
2026-05-29T04:28:08Z,0,,normal
2026-05-29T04:28:13Z,0,,normal
2026-05-29T04:28:18Z,0,,normal
2026-05-29T04:28:23Z,0,,normal
2026-05-29T04:28:28Z,0,,normal
2026-05-29T04:28:33Z,0,,normal
2026-05-29T04:28:38Z,0,,normal
2026-05-29T04:28:43Z,0,,normal
2026-05-29T04:28:48Z,0,,normal
2026-05-29T04:28:53Z,0,,normal
2026-05-29T04:28:58Z,0,,normal
2026-05-29T04:29:03Z,0,,normal
2026-05-29T04:29:08Z,0,,normal
2026-05-29T04:29:13Z,0,,normal
2026-05-29T04:29:18Z,0,,normal
2026-05-29T04:29:23Z,0,,normal
2026-05-29T04:29:28Z,0,,normal
2026-05-29T04:29:33Z,0,,normal
2026-05-29T04:29:38Z,0,,normal
2026-05-29T04:29:43Z,0,,normal
2026-05-29T04:29:48Z,0,,normal
