incident_id,root_cause_service,root_cause_dims,fault_type
INC-001,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-002,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-003,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-004,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-005,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-006,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-007,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-008,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-009,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-010,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-011,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-012,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-013,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-014,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-015,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-016,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-017,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-018,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-019,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-020,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
