timestamp,incident_id,phase
2026-05-29T09:43:52Z,,normal
2026-05-29T09:43:57Z,,normal
2026-05-29T09:44:02Z,,normal
2026-05-29T09:44:07Z,,normal
2026-05-29T09:44:12Z,,normal
2026-05-29T09:44:17Z,,normal
2026-05-29T09:44:22Z,,normal
2026-05-29T09:44:27Z,,normal
2026-05-29T09:44:32Z,,normal
2026-05-29T09:44:37Z,,normal
2026-05-29T09:44:42Z,,normal
2026-05-29T09:44:47Z,,normal
2026-05-29T09:44:52Z,,normal
2026-05-29T09:44:57Z,,normal
2026-05-29T09:45:02Z,,normal
2026-05-29T09:45:07Z,,normal
2026-05-29T09:45:12Z,,normal
2026-05-29T09:45:17Z,,normal
2026-05-29T09:45:22Z,,normal
2026-05-29T09:45:27Z,,normal
2026-05-29T09:45:32Z,,normal
2026-05-29T09:45:37Z,,normal
2026-05-29T09:45:42Z,,normal
2026-05-29T09:45:47Z,,normal
2026-05-29T09:45:52Z,,normal
2026-05-29T09:45:57Z,,normal
2026-05-29T09:46:02Z,,normal
2026-05-29T09:46:07Z,,normal
2026-05-29T09:46:12Z,,normal
2026-05-29T09:46:17Z,,normal
2026-05-29T09:46:22Z,,normal
2026-05-29T09:46:27Z,,normal
2026-05-29T09:46:32Z,,normal
2026-05-29T09:46:37Z,,normal
2026-05-29T09:46:42Z,,normal
2026-05-29T09:46:47Z,,normal
2026-05-29T09:46:52Z,,normal
2026-05-29T09:46:57Z,,normal
2026-05-29T09:47:02Z,,normal
2026-05-29T09:47:07Z,,normal
2026-05-29T09:47:12Z,,normal
2026-05-29T09:47:17Z,,normal
2026-05-29T09:47:22Z,,normal
2026-05-29T09:47:27Z,,normal
2026-05-29T09:47:32Z,,normal
2026-05-29T09:47:37Z,,normal
2026-05-29T09:47:42Z,,normal
2026-05-29T09:47:47Z,,normal
2026-05-29T09:47:52Z,,normal
2026-05-29T09:47:57Z,,normal
2026-05-29T09:48:02Z,,normal
2026-05-29T09:48:07Z,,normal
2026-05-29T09:48:12Z,,normal
2026-05-29T09:48:17Z,,normal
2026-05-29T09:48:22Z,,normal
2026-05-29T09:48:27Z,,normal
2026-05-29T09:48:32Z,,normal
2026-05-29T09:48:37Z,,normal
2026-05-29T09:48:42Z,,normal
2026-05-29T09:48:47Z,,normal
2026-05-29T09:48:52Z,,normal
2026-05-29T09:48:57Z,INC-001,fault_effect
2026-05-29T09:49:02Z,INC-001,fault_effect
2026-05-29T09:49:07Z,INC-001,fault_effect
2026-05-29T09:49:12Z,INC-001,fault_effect
2026-05-29T09:49:17Z,INC-001,fault_effect
2026-05-29T09:49:22Z,INC-001,fault_effect
2026-05-29T09:49:27Z,INC-001,fault_effect
2026-05-29T09:49:32Z,INC-001,fault_effect
2026-05-29T09:49:37Z,INC-001,fault_effect
2026-05-29T09:49:42Z,INC-001,fault_effect
2026-05-29T09:49:47Z,INC-001,fault_effect
2026-05-29T09:49:52Z,INC-001,fault_effect
2026-05-29T09:49:57Z,,normal
2026-05-29T09:50:02Z,,normal
2026-05-29T09:50:07Z,,normal
2026-05-29T09:50:12Z,,normal
2026-05-29T09:50:17Z,,normal
2026-05-29T09:50:22Z,,normal
2026-05-29T09:50:27Z,,normal
2026-05-29T09:50:32Z,,normal
2026-05-29T09:50:37Z,,normal
2026-05-29T09:50:42Z,,normal
2026-05-29T09:50:47Z,,normal
2026-05-29T09:50:52Z,,normal
2026-05-29T09:50:57Z,,normal
2026-05-29T09:51:02Z,,normal
2026-05-29T09:51:07Z,,normal
2026-05-29T09:51:12Z,,normal
2026-05-29T09:51:17Z,,normal
2026-05-29T09:51:22Z,,normal
2026-05-29T09:51:27Z,,normal
2026-05-29T09:51:32Z,,normal
2026-05-29T09:51:37Z,,normal
2026-05-29T09:51:42Z,,normal
2026-05-29T09:51:47Z,,normal
2026-05-29T09:51:52Z,,normal
2026-05-29T09:51:57Z,,normal
2026-05-29T09:52:02Z,,normal
2026-05-29T09:52:07Z,,normal
2026-05-29T09:52:12Z,,normal
