timestamp,is_anomaly,incident_id,phase
2026-05-28T17:54:43Z,0,,normal
2026-05-28T17:54:48Z,0,,normal
2026-05-28T17:54:53Z,0,,normal
2026-05-28T17:54:58Z,0,,normal
2026-05-28T17:55:03Z,0,,normal
2026-05-28T17:55:08Z,0,,normal
2026-05-28T17:55:13Z,0,,normal
2026-05-28T17:55:18Z,0,,normal
2026-05-28T17:55:23Z,0,,normal
2026-05-28T17:55:28Z,0,,normal
2026-05-28T17:55:33Z,0,,normal
2026-05-28T17:55:38Z,0,,normal
2026-05-28T17:55:43Z,0,,normal
2026-05-28T17:55:48Z,0,,normal
2026-05-28T17:55:53Z,0,,normal
2026-05-28T17:55:58Z,0,,normal
2026-05-28T17:56:03Z,0,,normal
2026-05-28T17:56:08Z,0,,normal
