timestamp,is_anomaly,incident_id,phase
2026-05-29T05:24:14Z,0,,normal
2026-05-29T05:24:19Z,0,,normal
2026-05-29T05:24:24Z,0,,normal
2026-05-29T05:24:29Z,0,,normal
2026-05-29T05:24:34Z,0,,normal
2026-05-29T05:24:39Z,0,,normal
2026-05-29T05:24:44Z,0,,normal
2026-05-29T05:24:49Z,0,,normal
2026-05-29T05:24:54Z,0,,normal
2026-05-29T05:24:59Z,0,,normal
2026-05-29T05:25:04Z,0,,normal
2026-05-29T05:25:09Z,0,,normal
2026-05-29T05:25:14Z,0,,normal
2026-05-29T05:25:19Z,0,,normal
2026-05-29T05:25:24Z,0,,normal
2026-05-29T05:25:29Z,0,,normal
2026-05-29T05:25:34Z,0,,normal
2026-05-29T05:25:39Z,0,,normal
2026-05-29T05:25:44Z,0,,normal
2026-05-29T05:25:49Z,0,,normal
2026-05-29T05:25:54Z,0,,normal
2026-05-29T05:25:59Z,0,,normal
2026-05-29T05:26:04Z,0,,normal
2026-05-29T05:26:09Z,0,,normal
2026-05-29T05:26:14Z,0,,normal
2026-05-29T05:26:19Z,0,,normal
2026-05-29T05:26:24Z,0,,normal
2026-05-29T05:26:29Z,0,,normal
2026-05-29T05:26:34Z,0,,normal
2026-05-29T05:26:39Z,0,,normal
2026-05-29T05:26:44Z,0,,normal
2026-05-29T05:26:49Z,0,,normal
2026-05-29T05:26:54Z,0,,normal
2026-05-29T05:26:59Z,0,,normal
2026-05-29T05:27:04Z,0,,normal
2026-05-29T05:27:09Z,0,,normal
2026-05-29T05:27:14Z,0,,normal
2026-05-29T05:27:19Z,0,,normal
2026-05-29T05:27:24Z,0,,normal
2026-05-29T05:27:29Z,0,,normal
2026-05-29T05:27:34Z,0,,normal
2026-05-29T05:27:39Z,0,,normal
2026-05-29T05:27:44Z,0,,normal
2026-05-29T05:27:49Z,0,,normal
2026-05-29T05:27:54Z,0,,normal
2026-05-29T05:27:59Z,0,,normal
2026-05-29T05:28:04Z,0,,normal
2026-05-29T05:28:09Z,0,,normal
2026-05-29T05:28:14Z,0,,normal
